area,mechanism,owner,status,current,evidence,remaining
Traits,Brave offense/defense/reaction inputs,"deep-combat-layer/01,08,15,18",partial-live-gated,"Brave-derived HT is formula-visible, while canonical Reactions no longer route activation through raw Brave. Normalized AutomaticTrigger, SkillResponse, and one-reference ActivationRoll use exact DX/HT/IQ/Will/named-Skill inputs in one execution/evaluation owner; the historical courage/caution taxonomy is nonconforming legacy code.",codemod/fftivc.generic.chronicle.codemod/DclCanonicalReactionEvaluation.cs; codemod/fftivc.generic.chronicle.codemod/DclCanonicalReactionWindow.cs; codemod/fftivc.generic.chronicle.codemod/DclReactionContract.cs; codemod/fftivc.generic.chronicle.codemod.smoketests/Program.cs,Bind canonical Reaction metadata/evaluation to the native post-action window and keep the legacy raw-Brave route disabled in the integrated profile.
Traits,Faith magic output/vulnerability inputs,"deep-combat-layer/11,13,15",mechanism-ready,"Raw/effective Faith and magic pipeline variables support output, healing, vulnerability, and status resistance.",work/1783983032-battle-runtime-settings.dcl-magic-pipeline-mechanism.json; codemod/fftivc.generic.chronicle.codemod.smoketests/Program.cs,Run integrated magic regression with sentinel curves; final balance policy is out of scope.
Traits,Zodiac compatibility inputs,deep-combat-layer/13,mechanism-ready,Attacker/target zodiac and derived compatibility distance/multipliers are formula-owned.,work/1783980809-battle-runtime-settings.dcl-weapon-skill-mechanism.json; codemod/fftivc.generic.chronicle.codemod.smoketests/Program.cs,"Apply one sentinel matrix across representative magic, healing, and status families."
Progression,Weapon Skill aptitude and Rank inputs,deep-combat-layer/03,partial-live-gated,"The canonical A-E aptitude table and Rank-to-GURPS-score rules are implemented offline. Existing Job Level and equipment-family runtime inputs are reusable, while the earlier configurable family-grade curve is superseded.",codemod/fftivc.generic.chronicle.codemod/DclPhysicalRules.cs; codemod/fftivc.generic.chronicle.codemod/FormulaRuntimeContextBuilder.cs; codemod/fftivc.generic.chronicle.codemod.smoketests/Program.cs,"Load authored aptitude Tier/difficulty for each legal family and bind the canonical score to forecast, AI, and execution."
Progression,Dual-wield active-weapon routing,"deep-combat-layer/03,06",mechanism-ready,"For action type 1, orderRecord+8 is the exact weapon item id used by native formula dispatch. The calc ring, action context, formula variables, weapon-skill profile, and hit-decision key retain it end to end. Different equipped ids identify right/left; identical ids remain side-ambiguous but route through the same exact weapon family and skill.",tools/analyze_dcl_active_weapon_payload.py; work/1784078789-dcl-active-weapon-payload-checkpoint.md; codemod/fftivc.generic.chronicle.codemod/FormulaRuntimeContextBuilder.cs; codemod/fftivc.generic.chronicle.codemod/DclHitDecisionCache.cs,Live-confirm that native Dual Wield emits two separate result transactions and preserves each strike's payload; weapon/skill routing itself is closed offline.
Magic,Unified damage/heal/affinity pipeline,"deep-combat-layer/11,13,14",partial-live-gated,"The canonical direct/Area resolvers own shared SpellScore, exact dice, DR/divisor then wound behavior, affinity/Absorb/Null, strongest boost, Faith, Shell, one-time Oil, healing caps/criticals, and one-time pre-target-classification Reflect routing without universal Magic Evade. The reflected recipient owns all target-relative inputs without rerolling or repricing. A synchronized projector composes typed state, equipment/focus, Faith, DR, Oil, Exposure, Shell, and Reflect inputs; focus magnitude modifiers use the same normalized expression in forecast, AI, and execution. Direct and Area coordinators own every reachable execution draw and native publication, including magical Aim retention. Area evaluation now enumerates the same per-target magnitude expression, critical healing replacement, HP/Absorb caps, Oil state, and KO short-circuit across Strikes without execution RNG.",codemod/fftivc.generic.chronicle.codemod/DclMagicResolution.cs; codemod/fftivc.generic.chronicle.codemod/DclCanonicalRuntime.cs; codemod/fftivc.generic.chronicle.codemod/DclCanonicalAreaMagicExecutor.cs; codemod/fftivc.generic.chronicle.codemod/DclCanonicalAreaMagicEvaluation.cs; codemod/fftivc.generic.chronicle.codemod/DclCanonicalAreaMagicExecutionCoordinator.cs; codemod/fftivc.generic.chronicle.codemod/DclCanonicalMagicExecutionCoordinator.cs; codemod/fftivc.generic.chronicle.codemod/DclCanonicalMagicSnapshotMechanics.cs; codemod/fftivc.generic.chronicle.codemod.smoketests/Program.cs,"Bind the synchronized projection and exact evaluation to native forecast/AI/execution target construction, then live-prove injury, healing, Absorb, Oil, and Reflect verticals."
Magic,Internal Direct resistance and magical defense routing,deep-combat-layer/13,partial-live-gated,"External Projectile, Beneficial, and Internal Direct have separate exact delivery resolvers. The canonical status executor binds Internal Direct to one target Quick Contest, immunity-before-RNG, target-owned ties, state commit, and one Reaction window without the historical universal Magic-Evade path. Confirmed status execution owns the shared casting and only-reachable resistance sites through the battle ledger and requires the exact battle state registry. A matching RNG-free evaluator enumerates the shared caster and conditional resistance spaces, exact delivery outcomes and winning margins, immunity short-circuit, outcome-dependent resource settlement, and lossless player/AI application probability.",docs/deep-combat-layer/13-magic-resolution-and-defenses.md; codemod/fftivc.generic.chronicle.codemod/DclMagicResolution.cs; codemod/fftivc.generic.chronicle.codemod/DclCanonicalStatusExecutor.cs; codemod/fftivc.generic.chronicle.codemod/DclCanonicalStatusEvaluation.cs; codemod/fftivc.generic.chronicle.codemod.smoketests/Program.cs,"Bind current target resistance/state snapshots and the exact evaluation to forecast, AI, and the native status carrier, then retire the old Magic-Evade arm from the integrated profile."
Magic,Touch SpellScore attack and active-defense gate,"deep-combat-layer/13,18,19",partial-live-gated,"The normalized Touch profile rejects Block and requires physical route/per-Strike gate ownership. One exact resolver uses SpellScore as the attack skill, permits only authored Dodge/Parry, bypasses defense on critical attack, applies the cumulative -4 Parry step before defense selection, and spends the exact named Parry resource on every reachable attempt. The direct numeric coordinator requires one immutable matching NativeDirect/NativeArc range-and-trajectory verdict before RNG; composes Damage, Healing, ResourceChange, status Riders, Injury/Aim, payment, target transaction, one Reaction window, and SingleResult publication; commits the battle-owned Parry revision; and keeps ResourceFailure before every random/resource/effect site. Native projection retains both the translated magic delivery and original physical Touch outcome. RNG-free evaluation shares exact effect/payment, hit, defense-attempt, and Parry-spend distributions with player and AI.",codemod/fftivc.generic.chronicle.codemod/DclTouchResolution.cs; codemod/fftivc.generic.chronicle.codemod/DclCanonicalRuntime.cs; codemod/fftivc.generic.chronicle.codemod/DclCanonicalMagicExecutionCoordinator.cs; codemod/fftivc.generic.chronicle.codemod/DclCanonicalMagicEvaluation.cs; codemod/fftivc.generic.chronicle.codemod/DclCanonicalNativeCarrierProjection.cs; codemod/fftivc.generic.chronicle.codemod/DclAuthoringContract.cs; codemod/fftivc.generic.chronicle.codemod.smoketests/Program.cs,"Bind proven native Touch range/trajectory and Dodge/Parry candidate snapshots to the coordinator, classify real Touch ability carriers, then live-prove damage, defense, payment, and presentation ordering."
Magic,RandomFire multistrike carrier,"deep-combat-layer/13,16,18",mechanism-ready,"All 16 RandomFire records are mapped. The native flag selects exactly one eligible target and runs one ordinary calculation per repeat; formulas 0x1E/0x1F use the exact weighted 1..10 distribution and formula 0x5E uses X+1. Native count/index globals drive spell-level hit-decision retention, while status plans remain per repeated result.",tools/analyze_dcl_multistrike_transactions.py; codemod/fftivc.generic.chronicle.codemod/DclNativeRepeat.cs; codemod/fftivc.generic.chronicle.codemod/Mod.cs; work/1784015549-randomfire-cardinality-live-plan.md,"Live-confirm selector, pre-clamp, HP/status apply, presentation ordering, and repeated selection of the same target."
Resources,Atomic HP/MP economy and redirect replacement,"deep-combat-layer/11,12",partial-live-gated,"The canonical resource layer owns exact final MP cost, pre-confirmation MP+HP forecast, explicit ApprovedHPCap authorization, pre-gate ResourceFailure, outcome settlement, MP-first debit, and legal lethal overcast. Canonical direct, status, and Area executors terminate ResourceFailure before target snapshot and reject every unreachable caster/defense/resistance/magnitude draw. A source-payment apply planner validates exact native HP/MP pools, rejects target-style credits and damage Reactions, derives the MP-first post-payment snapshot, requires exact payer-KO metadata, snapshots target/source KO cleanup, fails closed on a stale cleanup revision, and advances payment plus managed cleanup together after the native write. The transactional writer accepts legal zero-MaxMP units, rejects stale pools, writes MP before HP, confirms readback, and rolls earlier writes back on failure.",codemod/fftivc.generic.chronicle.codemod/DclMagicResourcesAndCasting.cs; codemod/fftivc.generic.chronicle.codemod/DclCanonicalRuntime.cs; codemod/fftivc.generic.chronicle.codemod/DclCanonicalAreaMagicExecutor.cs; codemod/fftivc.generic.chronicle.codemod/DclCanonicalNativePaymentApply.cs; codemod/fftivc.generic.chronicle.codemod/DclCanonicalNativeApplyRouter.cs; codemod/fftivc.generic.chronicle.codemod.smoketests/Program.cs,"Bind declaration UI/AI and the source-owned native HP/MP writer at a proven post-target-apply boundary; then live-prove ordinary, lethal, and self-target overcast without a hybrid pool/state commit."
Resources,HP/MP ResourceChange and Drain,"deep-combat-layer/09,11,18,19",partial-live-gated,"The normalized action contract owns TargetCredit, TargetDebit, and DrainTargetToSource plus separate target/source Undead routes. The pure resolver caps target and source pools independently, transfers only applied target debit, distinguishes HP/MP and source/target KO, and never enters Injury. Confirmed External Projectile, Beneficial, and Internal Direct routes own casting, conditional defense/resistance, and one ResourceMagnitudeDie through the battle ledger; exact evaluation correlates delivery, dice, caps, rejection, and both KO outcomes for player/AI. Native projection separates target effect, source effect, and cast payment. A static-proven state-apply epilogue at 0x30AB4D now consumes only the terminal target/Strike after exact HP/MP readback, then coordinates source ResourceChange before payment. Its disabled-by-default live callback rejects lethal source HP writes because direct HP zero does not own native KO lifecycle.",codemod/fftivc.generic.chronicle.codemod/DclCanonicalResourceChange.cs; codemod/fftivc.generic.chronicle.codemod/DclCanonicalMagicEvaluation.cs; codemod/fftivc.generic.chronicle.codemod/DclCanonicalMagicExecutionCoordinator.cs; codemod/fftivc.generic.chronicle.codemod/DclCanonicalNativeSourceEffectApply.cs; codemod/fftivc.generic.chronicle.codemod/DclCanonicalNativePostApply.cs; codemod/fftivc.generic.chronicle.codemod/DclCanonicalNativeApplyRouter.cs; tools/audit_runtime_hook_anchors.py; codemod/fftivc.generic.chronicle.codemod.smoketests/Program.cs,Publish one real canonical execution from native snapshots and live-prove the nonlethal post-apply callback; then bind a native lethal source-pool lifecycle carrier before lethal overcast or source-harm Drain.
Statuses,Authored status contest and duration,"deep-combat-layer/08,14",partial-live-gated,"The ordinary HP-result carrier is live-proven: one basic Attack preserved its natural 14 HP debit, staged Blind only in the native add packet, produced the 0x88 HP-plus-status composite, displayed Blind through native delivery, and retained Auto-Potion as an independent downstream Reaction. Per-action 3d6 resistance, immunity, and target-turn duration ownership are implemented and tested. Twenty-two status-only actions have fail-closed retained carriers. Twenty-six ordinary damage riders are data-suppressible; support, split-result, grouped, drain, and lifecycle exceptions retain dedicated owners. The execution-only catalog-verified producer owns 82 conditional actions, two performance actions, and the two RandomFire Void actions. Performance preserves the native caster-Sleep gate; RandomFire stages one fresh exact seven-bit random-one packet per repeated result. Every owned bit is atomically replaced in the paired native packet. The exact 150-action status inventory has one mechanism owner per action, zero unowned rows, and no remaining special transaction category.",work/1784097430-lt32-dcl-native-status-packet-live.log; work/1784097818-lt32-native-status-packet-live-checkpoint.md; tools/analyze_dcl_native_status_packet_live.py; work/1783974808-battle-runtime-settings.lt14-dcl-status-add.json; work/1784068553-battle-runtime-settings.dcl-dragon-gift-rider.json; work/1784068927-battle-runtime-settings.dcl-self-destruct-rider.json; codemod/fftivc.generic.chronicle.codemod/DclStatusPacket.cs; codemod/fftivc.generic.chronicle.codemod/DclStatusGroups.cs; codemod/fftivc.generic.chronicle.codemod/DclStatusNativeCarrier.cs; codemod/fftivc.generic.chronicle.codemod/DclStatusGroupedCarrier.cs; codemod/fftivc.generic.chronicle.codemod/DclStatusConditionalCarrier.cs; codemod/fftivc.generic.chronicle.codemod/DclStatusConditionalProducer.cs; codemod/fftivc.generic.chronicle.codemod/Mod.cs; tools/analyze_dcl_status_transactions.py; tools/analyze_dcl_status_authority.py; tools/analyze_dcl_status_conditional_producer.py; tools/build_neuter_data.py,"Live-prove RandomFire per-repeat packet integration, Song/Dance tick cadence and cleanup, plus representative retained and split-result carrier verticals; the ordinary LT32 add carrier is closed."
Lifecycle,"KO, revive, instant KO and corpse state","deep-combat-layer/05,08,14",partial-live-gated,"Native HP/KO lifecycle and formula-owned revive credit are live-proven; direct death writes are rejected. The data-neutralized Death vertical proves that instant KO composes with the AI-facing compute-point writer: AI receives exact 3d6 expected lethal debit, confirmed execution rolls once, cached resistance or lethal debit reaches native HP apply without a second contest, and the legacy KO path remains unused. Raise proves that the writer can replace native staged revive credit while native apply clamps to MaxHP and clears Dead only after restoring HP. Corpse/crystal mechanisms remain mapped offline.",tools/analyze_dcl_instant_ko_compute.py; tools/analyze_dcl_raise_revive.py; work/1784093540-lt37a-dcl-instant-ko-compute-resist-resolved-live.log; work/1784093827-lt37b-dcl-instant-ko-compute-ko-resolved-live.log; work/1784096430-lt38-dcl-raise-revive-live.log; work/1784096697-lt38-raise-revive-live-checkpoint.md; codemod/fftivc.generic.chronicle.codemod/DclLifecycle.cs; codemod/fftivc.generic.chronicle.codemod/DclComputePointNumericPlan.cs; work/1784090430-dcl-compute-point-family-closure.md; docs/modding/04-engine-memory-model.md; work/1783987383-dcl-bequeath-crystal-offline.md,"Regress corpse/crystal transitions if their native formula, status metadata, or lifecycle tail changes."
Lifecycle,Native special-action transactions,"deep-combat-layer/10,16",mechanism-ready,"Song/Dance cadence, steal/equipment-break carriers, paired recoil and HP/MP drain results, the team pool, and transformation have reproducible current-build offline mappings; the 512-record technical classification queue is empty.",work/1784011230-dcl-offline-formula-closure-checkpoint.md; work/1784011732-dcl-equipment-break-analysis.md; work/1784011733-dcl-recoil-paired-result-analysis.md; work/1784012424-dcl-drain-transaction-analysis.md; docs/modding/04-engine-memory-model.md,Run targeted cardinality/persistence integration checks with sentinel rules; per-ability balance policy is out of scope.
Reactions,Activation modes and native effects,deep-combat-layer/18,partial-live-gated,"Normalized Reaction records and fail-closed validation own AutomaticTrigger, SkillResponse, one-reference ActivationRoll, eligibility-before-RNG, costs/uses, source/target binding, and once-per-window/native cardinality without raw Brave. One RNG-free evaluator preserves native order and exposes the exact 3d6 activation mass to player and AI. Confirmed physical, direct/Area magic, status application/removal, Dispel, Quick, Revive, and standalone ForcedMovement coordinators preflight the complete candidate/binding/effect route before any execution RNG or mutation, resolve the exact battle-owned post-action window, and retain its result through native projection; ResourceFailure and the later Stored-Reraise lifecycle trigger open none. Native publication requires the declared-window flag and same-ActionInstance result together. A strict atomic binding separates the native presentation/dispatch id at actor+0x18C from the executable effect ability at actor+0x142 and validates that effect ability against the exact normalized effect Action revision. The disabled state-0x2C hook consumes one ordered normalized effect Strike per exact reactor/two-id match, while one accepted multi-Strike Reaction remains one Reaction. The state-0x2F terminal hook refuses settlement until every accepted effect Strike completes, then acknowledges, settles, and retires the singleton payment-committed battle-generation ticket.",codemod/fftivc.generic.chronicle.codemod/DclReactionContract.cs; codemod/fftivc.generic.chronicle.codemod/DclCanonicalReactionWindow.cs; codemod/fftivc.generic.chronicle.codemod/DclCanonicalReactionEvaluation.cs; codemod/fftivc.generic.chronicle.codemod/DclCanonicalAuxiliaryExecutionCoordinator.cs; codemod/fftivc.generic.chronicle.codemod/DclNativeReactionBindings.cs; codemod/fftivc.generic.chronicle.codemod/DclCanonicalNativeReactionCompletion.cs; tools/analyze_dcl_reaction_effect_boundary.py; tools/analyze_dcl_reaction_window_completion.py; work/1784105715-lt23-rion-counter-pass2-live-analysis.md; work/1784106074-lt23-auto-potion-pass2-live-analysis.md; codemod/fftivc.generic.chronicle.codemod.smoketests/Program.cs,"Bind normalized native candidate production/effect dispatch to the published ActionInstance, then live-prove the managed state-0x2C and terminal hooks plus all three activation modes."
Reactions,"Synthetic producer, accepted-order transformation and commit","deep-combat-layer/16,18",partial-live-gated,"LT31 proves that pass-2 commit owns accepted-Reaction cardinality, while state 0x2C owns delivered transaction/strike cardinality. LT39 proves live that accepted boundary 0x2063BD owns the complete type/payload/item/target order before actor construction and that selected unit-table versus actor indices are separate namespaces. The fail-closed exact-carrier accepted-order controller is offline-tested. The generic synthetic-Reaction transaction composes an exact equipped-carrier successful-result reservation with a survivor guard, configurable taxonomy roll, dynamic empty-slot producer, guarded action/target rewrite, producer-owned pass-2 commit, and once-per-attacker-action cadence. It embeds no job, fixed carrier, or managed effect.",work/1784110061-lt39-dcl-reaction-materialization-live-result.md; work/1784109869-lt39-dcl-reaction-materialization-live.log; tools/analyze_dcl_reaction_materialization_live.py; tools/analyze_dcl_reaction_order_rewrite.py; tools/analyze_dcl_synthetic_reaction_transaction.py; codemod/fftivc.generic.chronicle.codemod/DclSyntheticReaction.cs; codemod/fftivc.generic.chronicle.codemod/Mod.cs,"Run one validator-clean neutral carrier profile in log-only mode, then a bounded live carrier production/order-delivery vertical with wrong-source and duplicate-cadence controls."
Equipment,Item metadata exposure and DCL sidecar,"deep-combat-layer/06,19",mechanism-ready,"A strict native-ID-bound schema and atomic loader own Weight, Body/Head DR, modifiers, full weapon/shield/focus unions, element/affinity, immunity, and special properties without creating SKUs. The proven seven-slot native equipment block joins that registry fail-closed and aggregates exact Weight/modifiers/DR/immunity/active weapon/affinity while preserving repeated dual-wield instances. Applicable foci now sum skill/damage/healing/concentration/CastCT modifiers, multiply MP-cost factors exactly, and select the strongest element boost by declared tradition.",codemod/fftivc.generic.chronicle.codemod/DclItemMetadata.cs; codemod/fftivc.generic.chronicle.codemod/DclCanonicalEquipmentSnapshot.cs; codemod/fftivc.generic.chronicle.codemod/DclCanonicalMagicSnapshotMechanics.cs; codemod/fftivc.generic.chronicle.codemod/ItemCatalog.cs; codemod/fftivc.generic.chronicle.codemod.smoketests/Program.cs,Author approved per-item values and connect synchronized equipment changes to native characteristic/pool refresh; the technical metadata/snapshot mechanism is closed offline.
Metadata,Ability carrier classification and normalized overlay,deep-combat-layer/19,metadata-authoring,A strict native binding layer joins verified ability/formula evidence to one normalized ActionId/revision and explicit forecast/AI/execution/apply/presentation owners. Fire 16 is the sentinel; the audit deliberately reports the remaining 509 nonreserved records unbound with no fallback.,codemod/fftivc.generic.chronicle.codemod/DclAbilityBindings.cs; tools/report_dcl_ability_classification.py; codemod/fftivc.generic.chronicle.codemod/AbilityCatalog.cs; codemod/fftivc.generic.chronicle.codemod/DclAuthoringContract.cs; codemod/fftivc.generic.chronicle.codemod.smoketests/Program.cs,Materialize approved document-19 profiles and bindings for every nonreserved carrier without assigning draft jobs or inventing final balance.
AI,AI-visible rewritten scoring,deep-combat-layer/09,proven-live,"Enemy think-time sweeps consume the normalized staged bundle after 0x281F12 for target ranking. The permanent numeric writer publishes the complete formula-owned HP/MP bundle and flags there, leaves ordinary AI evaluations transient, caches only confirmed execution, and reuses that exact result at 0x30A5D7. LT36 proves target ranking and cached delivery. The charged Death vertical proves exact 3d6 expected lethal debit during AI evaluation and one cached sampled contest at execution. Canonical direct/Area magic and physical evaluations now expose RNG-free exact expected native effects; physical AI retains finite defenses, HP caps, KO probability, expected hits, and expected reached Strikes rather than substituting an independent-hit heuristic.",tools/analyze_dcl_ai_scoring_boundary.py; tools/analyze_dcl_instant_ko_compute.py; tools/analyze_dcl_calc_provenance.py; work/1784089635-lt36-compute-point-writer-live-result.md; work/1784089584-lt36b-compute-point-delivery-live.log; work/1784093540-lt37a-dcl-instant-ko-compute-resist-resolved-live.log; work/1784093827-lt37b-dcl-instant-ko-compute-ko-resolved-live.log; work/1784090430-dcl-compute-point-family-closure.md; codemod/fftivc.generic.chronicle.codemod/DclCanonicalPhysicalEvaluation.cs; codemod/fftivc.generic.chronicle.codemod/DclComputePointCache.cs; codemod/fftivc.generic.chronicle.codemod/DclComputePointNumericPlan.cs; docs/modding/08-dcl-information-requirements.md,"Bind the canonical player/AI projections to the proven scoring carrier, then regress healing, MP, miss/output-control, multistrike, AoE, and status-scoring families in the integrated profile."
