ability_id,name,ability_type,formula_hex,formula_text,elements,inflict_statuses,route,mechanism,readiness,risk,candidate_action_kind,candidate_damage_type,candidate_avoidance_policy,candidate_status_category,candidate_side_effect_policy,metadata_certainty,metadata_open_fields,rationale
19,Firaja,Normal,0x08,Dmg_F(MA*Y) ME,Fire,,magic_damage,dcl_magic,wired,low,magic_damage,elemental,magic_evade_per_target,none,preserve_catalog_riders,candidate-complete,,Canonical Faith-scaled MA*Y damage is implemented by the numeric-magic profile.
20,Thunder,Normal,0x08,Dmg_F(MA*Y) ME,Lightning,,magic_damage,dcl_magic,wired,low,magic_damage,elemental,magic_evade_per_target,none,preserve_catalog_riders,candidate-complete,,Canonical Faith-scaled MA*Y damage is implemented by the numeric-magic profile.
21,Thundara,Normal,0x08,Dmg_F(MA*Y) ME,Lightning,,magic_damage,dcl_magic,wired,low,magic_damage,elemental,magic_evade_per_target,none,preserve_catalog_riders,candidate-complete,,Canonical Faith-scaled MA*Y damage is implemented by the numeric-magic profile.
22,Thundaga,Normal,0x08,Dmg_F(MA*Y) ME,Lightning,,magic_damage,dcl_magic,wired,low,magic_damage,elemental,magic_evade_per_target,none,preserve_catalog_riders,candidate-complete,,Canonical Faith-scaled MA*Y damage is implemented by the numeric-magic profile.
23,Thundaja,Normal,0x08,Dmg_F(MA*Y) ME,Lightning,,magic_damage,dcl_magic,wired,low,magic_damage,elemental,magic_evade_per_target,none,preserve_catalog_riders,candidate-complete,,Canonical Faith-scaled MA*Y damage is implemented by the numeric-magic profile.
24,Blizzard,Normal,0x08,Dmg_F(MA*Y) ME,Ice,,magic_damage,dcl_magic,wired,low,magic_damage,elemental,magic_evade_per_target,none,preserve_catalog_riders,candidate-complete,,Canonical Faith-scaled MA*Y damage is implemented by the numeric-magic profile.
25,Blizzara,Normal,0x08,Dmg_F(MA*Y) ME,Ice,,magic_damage,dcl_magic,wired,low,magic_damage,elemental,magic_evade_per_target,none,preserve_catalog_riders,candidate-complete,,Canonical Faith-scaled MA*Y damage is implemented by the numeric-magic profile.
26,Blizzaga,Normal,0x08,Dmg_F(MA*Y) ME,Ice,,magic_damage,dcl_magic,wired,low,magic_damage,elemental,magic_evade_per_target,none,preserve_catalog_riders,candidate-complete,,Canonical Faith-scaled MA*Y damage is implemented by the numeric-magic profile.
27,Blizzaja,Normal,0x08,Dmg_F(MA*Y) ME,Ice,,magic_damage,dcl_magic,wired,low,magic_damage,elemental,magic_evade_per_target,none,preserve_catalog_riders,candidate-complete,,Canonical Faith-scaled MA*Y damage is implemented by the numeric-magic profile.
28,Poison,Normal,0x0A,Hit_F(MA+X)% ME,,Poison,magical_status,dcl_status_contest,surface-ready,medium,status_control,none,status_contest,physical,managed_status_commit,candidate-complete,,"Offensive Faith status spells use the authored DCL status contest, not numeric magic damage."
29,Toad,Normal,0x0A,Hit_F(MA+X)% ME,,Frog,magical_status,dcl_status_contest,surface-ready,medium,status_control,none,status_contest,magical,managed_status_commit,candidate-complete,,"Offensive Faith status spells use the authored DCL status contest, not numeric magic damage."
30,Death,Normal,0x0E,Dmg_(Y)% Hit_F(MA+X)% 100% Status Hide Status,,Dead,special_hp_damage,explicit_special_rule,authoring-required,high,resource_damage,special_or_hybrid_open,ability_authored_open,lifecycle_special,special_handler_open,authoring-open,damage_type|avoidance_policy|status_category|side_effect_policy,Percent/current/missing-HP effects must not enter the ordinary physical or magic damage spine.
31,Flare,Normal,0x08,Dmg_F(MA*Y) ME,,,magic_damage,dcl_magic,wired,low,magic_damage,magic_untyped_open,magic_evade_per_target,none,preserve_catalog_riders,authoring-open,damage_type,Canonical Faith-scaled MA*Y damage is implemented by the numeric-magic profile.
32,Haste,Normal,0x0B,Hit_F(MA+X)% NE,,Haste,status_or_buff,dcl_status_control,surface-ready,medium,status_control,none,status_contest,none,managed_status_commit,candidate-complete,,"Status/buff output is writable, but each status needs authored offense/resistance/duration policy."
33,Hasteja,Normal,0x0B,Hit_F(MA+X)% NE,,Haste,status_or_buff,dcl_status_control,surface-ready,medium,status_control,none,status_contest,none,managed_status_commit,candidate-complete,,"Status/buff output is writable, but each status needs authored offense/resistance/duration policy."
34,Slow,Normal,0x0A,Hit_F(MA+X)% ME,,Slow,magical_status,dcl_status_contest,surface-ready,medium,status_control,none,status_contest,magical,managed_status_commit,candidate-complete,,"Offensive Faith status spells use the authored DCL status contest, not numeric magic damage."
35,Slowja,Normal,0x0A,Hit_F(MA+X)% ME,,Slow,magical_status,dcl_status_contest,surface-ready,medium,status_control,none,status_contest,magical,managed_status_commit,candidate-complete,,"Offensive Faith status spells use the authored DCL status contest, not numeric magic damage."
36,Stop,Normal,0x0A,Hit_F(MA+X)% ME,,Stop,magical_status,dcl_status_contest,surface-ready,medium,status_control,none,status_contest,magical,managed_status_commit,candidate-complete,,"Offensive Faith status spells use the authored DCL status contest, not numeric magic damage."
37,Immobilize,Normal,0x0A,Hit_F(MA+X)% ME,,DontMove,magical_status,dcl_status_contest,surface-ready,medium,status_control,none,status_contest,source_authored,managed_status_commit,authoring-open,status_category,"Offensive Faith status spells use the authored DCL status contest, not numeric magic damage."
38,Float,Normal,0x0B,Hit_F(MA+X)% NE,,Float,status_or_buff,dcl_status_control,surface-ready,medium,status_control,none,status_contest,none,managed_status_commit,candidate-complete,,"Status/buff output is writable, but each status needs authored offense/resistance/duration policy."
39,Reflect,Normal,0x0B,Hit_F(MA+X)% NE,,Reflect,status_or_buff,dcl_status_control,surface-ready,medium,status_control,none,status_contest,none,managed_status_commit,candidate-complete,,"Status/buff output is writable, but each status needs authored offense/resistance/duration policy."
40,<Unknown> ,Normal,0x00,Dmg_[Weapon] PE,,,physical_damage,dcl_physical,formula-map-required,medium,physical_damage,weapon_defined,physical_contest,none,preserve_catalog_riders,candidate-complete,,Weapon-basis damage can use the DCL physical spine after its weapon/ability metadata is authored.
41,Quick,Normal,0x12,Set_Quick Hit_F(MA+X)% NS NE,,,turn_control,explicit_status_or_ct_rule,authoring-required,high,special_control,none,ability_authored_open,none,special_handler_open,authoring-open,avoidance_policy|side_effect_policy,Quick/CT-zero modifies turn state rather than HP damage.
42,Gravity,Normal,0x09,Dmg_(Y/100)% Hit_F(MA+X)% ME,,,special_hp_damage,explicit_special_rule,authoring-required,high,resource_damage,special_or_hybrid_open,ability_authored_open,none,special_handler_open,authoring-open,damage_type|avoidance_policy|side_effect_policy,Percent/current/missing-HP effects must not enter the ordinary physical or magic damage spine.
43,Graviga,Normal,0x09,Dmg_(Y/100)% Hit_F(MA+X)% ME,,,special_hp_damage,explicit_special_rule,authoring-required,high,resource_damage,special_or_hybrid_open,ability_authored_open,none,special_handler_open,authoring-open,damage_type|avoidance_policy|side_effect_policy,Percent/current/missing-HP effects must not enter the ordinary physical or magic damage spine.
44,Meteor,Normal,0x08,Dmg_F(MA*Y) ME,,,magic_damage,dcl_magic,wired,low,magic_damage,magic_untyped_open,magic_evade_per_target,none,preserve_catalog_riders,authoring-open,damage_type,Canonical Faith-scaled MA*Y damage is implemented by the numeric-magic profile.
45,Chant,Normal,0x65,<<Sanguine Sword>>,Dark,,ivc_custom,unknown_ivc_formula,reverse-engineering,high,special_or_hybrid_open,none,ability_authored_open,none,special_handler_open,authoring-open,action_kind|avoidance_policy|side_effect_policy,IVC-only custom formula internals are not described by the classic formula catalog.
46,Umbra,Normal,0x0A,Hit_F(MA+X)% ME,,Darkness,magical_status,dcl_status_contest,surface-ready,medium,status_control,none,status_contest,magical,managed_status_commit,candidate-complete,,"Offensive Faith status spells use the authored DCL status contest, not numeric magic damage."
47,Empowerment,Normal,0x0F,AbsorbMP_(Y)% Hit_F(MA+X)% NS ME,,,drain,dcl_hp_mp_channels,authoring-required,high,resource_damage,none,ability_authored_open,none,multi_unit_transaction,authoring-open,avoidance_policy,"Drain must coordinate source debit/credit, target debit/credit, hit, Undead, and caps."
48,Invigoration,Normal,0x10,AbsorbHP_(Y)% Hit_F(MA+X)% NS ME,,,drain,dcl_hp_mp_channels,authoring-required,high,resource_damage,none,ability_authored_open,none,multi_unit_transaction,authoring-open,avoidance_policy,"Drain must coordinate source debit/credit, target debit/credit, hit, Undead, and caps."
49,Belief,Normal,0x0A,Hit_F(MA+X)% ME,,Faith,magical_status,dcl_status_contest,surface-ready,medium,status_control,none,status_contest,magical,managed_status_commit,candidate-complete,,"Offensive Faith status spells use the authored DCL status contest, not numeric magic damage."
50,Disbelief,Normal,0x0A,Hit_F(MA+X)% ME,,Innocent,magical_status,dcl_status_contest,surface-ready,medium,status_control,none,status_contest,magical,managed_status_commit,candidate-complete,,"Offensive Faith status spells use the authored DCL status contest, not numeric magic damage."
51,Corruption,Normal,0x0A,Hit_F(MA+X)% ME,,Undead,magical_status,dcl_status_contest,surface-ready,medium,status_control,none,status_contest,magical,managed_status_commit,candidate-complete,,"Offensive Faith status spells use the authored DCL status contest, not numeric magic damage."
52,Quiescence,Normal,0x0A,Hit_F(MA+X)% ME,,Silence,magical_status,dcl_status_contest,surface-ready,medium,status_control,none,status_contest,magical,managed_status_commit,candidate-complete,,"Offensive Faith status spells use the authored DCL status contest, not numeric magic damage."
53,Fervor,Normal,0x0A,Hit_F(MA+X)% ME,,Berserk,magical_status,dcl_status_contest,surface-ready,medium,status_control,none,status_contest,mental,managed_status_commit,candidate-complete,,"Offensive Faith status spells use the authored DCL status contest, not numeric magic damage."
54,Trepidation,Normal,0x61,-Brave_(Y) Hit_F(MA+X)% NS ME,,,stat_or_trait_debuff,dcl_status_or_stat_control,authoring-required,medium,stat_or_trait_change,none,ability_authored_open,none,stat_or_trait_commit,authoring-open,avoidance_policy,"Direct PA/MA/SP/level/Brave changes require explicit duration, floor, and restoration policy."
55,Delirium,Normal,0x0A,Hit_F(MA+X)% ME,,Confusion,magical_status,dcl_status_contest,surface-ready,medium,status_control,none,status_contest,mental,managed_status_commit,candidate-complete,,"Offensive Faith status spells use the authored DCL status contest, not numeric magic damage."
56,Harmony,Normal,0x0A,Hit_F(MA+X)% ME,,Float|Reraise|Transparent|Regen|Protect|Shell|Haste|Faith|Reflect,magical_status,dcl_status_contest,surface-ready,medium,status_control,none,none,none,managed_status_commit,candidate-complete,,"Offensive Faith status spells use the authored DCL status contest, not numeric magic damage."
57,Hesitation,Normal,0x0A,Hit_F(MA+X)% ME,,DontAct,magical_status,dcl_status_contest,surface-ready,medium,status_control,none,status_contest,source_authored,managed_status_commit,authoring-open,status_category,"Offensive Faith status spells use the authored DCL status contest, not numeric magic damage."
58,Repose,Normal,0x0A,Hit_F(MA+X)% ME,,Sleep,magical_status,dcl_status_contest,surface-ready,medium,status_control,none,status_contest,magical,managed_status_commit,candidate-complete,,"Offensive Faith status spells use the authored DCL status contest, not numeric magic damage."
59,Induration,Normal,0x0A,Hit_F(MA+X)% ME,,Petrify,magical_status,dcl_status_contest,surface-ready,medium,status_control,none,status_contest,magical,managed_status_commit,candidate-complete,,"Offensive Faith status spells use the authored DCL status contest, not numeric magic damage."
60,Moogle,Normal,0x0C,Heal_F(MA*Y) NS NE,,,magic_healing,dcl_magic,wired,low,healing,none,none,none,managed_resource_commit,candidate-complete,,"Canonical Faith-scaled MA*Y healing is implemented, including Undead inversion."
61,Shiva,Normal,0x08,Dmg_F(MA*Y) ME,Ice,,magic_damage,dcl_magic,wired,low,magic_damage,elemental,magic_evade_per_target,none,preserve_catalog_riders,candidate-complete,,Canonical Faith-scaled MA*Y damage is implemented by the numeric-magic profile.
62,Ramuh,Normal,0x08,Dmg_F(MA*Y) ME,Lightning,,magic_damage,dcl_magic,wired,low,magic_damage,elemental,magic_evade_per_target,none,preserve_catalog_riders,candidate-complete,,Canonical Faith-scaled MA*Y damage is implemented by the numeric-magic profile.
63,Ifrit,Normal,0x08,Dmg_F(MA*Y) ME,Fire,,magic_damage,dcl_magic,wired,low,magic_damage,elemental,magic_evade_per_target,none,preserve_catalog_riders,candidate-complete,,Canonical Faith-scaled MA*Y damage is implemented by the numeric-magic profile.
64,Titan,Normal,0x08,Dmg_F(MA*Y) ME,Earth,,magic_damage,dcl_magic,wired,low,magic_damage,elemental,magic_evade_per_target,none,preserve_catalog_riders,candidate-complete,,Canonical Faith-scaled MA*Y damage is implemented by the numeric-magic profile.
65,Golem,Normal,0x14,Set_Golem Hit_CasF/100*(MA+X)% GlmHP(TarMaxHP) NS NE,,,golem_pool,explicit_special_rule,reverse-engineering,high,special_or_hybrid_open,none,ability_authored_open,none,special_handler_open,authoring-open,action_kind|avoidance_policy|side_effect_policy,Golem owns an engine-side shared mitigation pool and needs a dedicated state model.
66,Carbuncle,Normal,0x0B,Hit_F(MA+X)% NE,,Reflect,status_or_buff,dcl_status_control,surface-ready,medium,status_control,none,status_contest,none,managed_status_commit,candidate-complete,,"Status/buff output is writable, but each status needs authored offense/resistance/duration policy."
67,Bahamut,Normal,0x08,Dmg_F(MA*Y) ME,,,magic_damage,dcl_magic,wired,low,magic_damage,magic_untyped_open,magic_evade_per_target,none,preserve_catalog_riders,authoring-open,damage_type,Canonical Faith-scaled MA*Y damage is implemented by the numeric-magic profile.
68,Odin,Normal,0x08,Dmg_F(MA*Y) ME,,,magic_damage,dcl_magic,wired,low,magic_damage,magic_untyped_open,magic_evade_per_target,none,preserve_catalog_riders,authoring-open,damage_type,Canonical Faith-scaled MA*Y damage is implemented by the numeric-magic profile.
69,Leviathan,Normal,0x08,Dmg_F(MA*Y) ME,Water,,magic_damage,dcl_magic,wired,low,magic_damage,elemental,magic_evade_per_target,none,preserve_catalog_riders,candidate-complete,,Canonical Faith-scaled MA*Y damage is implemented by the numeric-magic profile.
70,Salamander,Normal,0x08,Dmg_F(MA*Y) ME,Fire,,magic_damage,dcl_magic,wired,low,magic_damage,elemental,magic_evade_per_target,none,preserve_catalog_riders,candidate-complete,,Canonical Faith-scaled MA*Y damage is implemented by the numeric-magic profile.
71,Sylph,Normal,0x0A,Hit_F(MA+X)% ME,,Silence,magical_status,dcl_status_contest,surface-ready,medium,status_control,none,status_contest,magical,managed_status_commit,candidate-complete,,"Offensive Faith status spells use the authored DCL status contest, not numeric magic damage."
72,Faerie,Normal,0x0C,Heal_F(MA*Y) NS NE,,,magic_healing,dcl_magic,wired,low,healing,none,none,none,managed_resource_commit,candidate-complete,,"Canonical Faith-scaled MA*Y healing is implemented, including Undead inversion."
73,Lich,Normal,0x09,Dmg_(Y/100)% Hit_F(MA+X)% ME,Dark,,special_hp_damage,explicit_special_rule,authoring-required,high,resource_damage,special_or_hybrid_open,ability_authored_open,none,special_handler_open,authoring-open,damage_type|avoidance_policy|side_effect_policy,Percent/current/missing-HP effects must not enter the ordinary physical or magic damage spine.
74,Cyclops,Normal,0x08,Dmg_F(MA*Y) ME,,,magic_damage,dcl_magic,wired,low,magic_damage,magic_untyped_open,magic_evade_per_target,none,preserve_catalog_riders,authoring-open,damage_type,Canonical Faith-scaled MA*Y damage is implemented by the numeric-magic profile.
75,Zodiark,Normal,0x08,Dmg_F(MA*Y) ME,,,magic_damage,dcl_magic,wired,low,magic_damage,magic_untyped_open,magic_evade_per_target,none,preserve_catalog_riders,authoring-open,damage_type,Canonical Faith-scaled MA*Y damage is implemented by the numeric-magic profile.
76,Ashura,Normal,0x20,"Dmg_(MA*Y) NE //MayDisplay""Broken""",,,noncanonical_magic_or_hybrid_damage,explicit_damage_rule,formula-map-required,high,special_or_hybrid_open,special_or_hybrid_open,ability_authored_open,none,special_handler_open,authoring-open,action_kind|damage_type|avoidance_policy|side_effect_policy,Non-Faith MA or PA/MA hybrid damage needs an ability-level DCL identity decision.
77,Kotetsu,Normal,0x20,"Dmg_(MA*Y) NE //MayDisplay""Broken""",,,noncanonical_magic_or_hybrid_damage,explicit_damage_rule,formula-map-required,high,special_or_hybrid_open,special_or_hybrid_open,ability_authored_open,none,special_handler_open,authoring-open,action_kind|damage_type|avoidance_policy|side_effect_policy,Non-Faith MA or PA/MA hybrid damage needs an ability-level DCL identity decision.
78,Bizen Osafune,Normal,0x21,"DmgMP_(MA*Y) NS NE //MayDisplay""Broken""",,,mp_damage,dcl_mp_channel,surface-ready,medium,resource_damage,none,ability_authored_open,none,managed_resource_commit,authoring-open,avoidance_policy,"MP debit is proven, but each percent/current/stat formula needs an authored amount rule."
79,Murasame,Normal,0x23,"Heal_(MA*Y) NS NE //MayDisplay""Broken""",,,noncanonical_healing,explicit_healing_rule,formula-map-required,medium,healing,none,none,none,managed_resource_commit,candidate-complete,,Non-Faith healing may share the output channel but needs an authored Faith and scaling policy.
80,Ame-no-Murakumo,Normal,0x20,"Dmg_(MA*Y) NE //MayDisplay""Broken""",,Slow,noncanonical_magic_or_hybrid_damage,explicit_damage_rule,formula-map-required,high,special_or_hybrid_open,special_or_hybrid_open,ability_authored_open,magical,special_handler_open,authoring-open,action_kind|damage_type|avoidance_policy|side_effect_policy,Non-Faith MA or PA/MA hybrid damage needs an ability-level DCL identity decision.
81,Kiyomori,Normal,0x22,"Hit_(100%) Status NE //MayDisplay""Broken""",,Protect|Shell,status_or_buff,dcl_status_control,surface-ready,medium,status_control,none,status_contest,none,managed_status_commit,candidate-complete,,"Status/buff output is writable, but each status needs authored offense/resistance/duration policy."
82,Muramasa,Normal,0x20,"Dmg_(MA*Y) NE //MayDisplay""Broken""",,Confusion|DeathSentence,noncanonical_magic_or_hybrid_damage,explicit_damage_rule,formula-map-required,high,special_or_hybrid_open,special_or_hybrid_open,ability_authored_open,magical+mental,special_handler_open,authoring-open,action_kind|damage_type|avoidance_policy|status_category|side_effect_policy,Non-Faith MA or PA/MA hybrid damage needs an ability-level DCL identity decision.
83,Kiku-ichimonji,Normal,0x20,"Dmg_(MA*Y) NE //MayDisplay""Broken""",,,noncanonical_magic_or_hybrid_damage,explicit_damage_rule,formula-map-required,high,special_or_hybrid_open,special_or_hybrid_open,ability_authored_open,none,special_handler_open,authoring-open,action_kind|damage_type|avoidance_policy|side_effect_policy,Non-Faith MA or PA/MA hybrid damage needs an ability-level DCL identity decision.
84,Masamune,Normal,0x22,"Hit_(100%) Status NE //MayDisplay""Broken""",,Regen|Haste,status_or_buff,dcl_status_control,surface-ready,medium,status_control,none,status_contest,none,managed_status_commit,candidate-complete,,"Status/buff output is writable, but each status needs authored offense/resistance/duration policy."
85,Chirijiraden,Normal,0x20,"Dmg_(MA*Y) NE //MayDisplay""Broken""",,,noncanonical_magic_or_hybrid_damage,explicit_damage_rule,formula-map-required,high,special_or_hybrid_open,special_or_hybrid_open,ability_authored_open,none,special_handler_open,authoring-open,action_kind|damage_type|avoidance_policy|side_effect_policy,Non-Faith MA or PA/MA hybrid damage needs an ability-level DCL identity decision.
86,Seraph Song,Normal,0x1C,Hit_(X)% NS NE,,,song_or_dance,periodic_action_state,reverse-engineering,high,special_or_hybrid_open,none,ability_authored_open,none,special_handler_open,authoring-open,action_kind|avoidance_policy|side_effect_policy,Performance ticks are slot/state-driven and require periodic ownership and stop conditions.
87,Life's Anthem,Normal,0x1C,Hit_(X)% NS NE,,,song_or_dance,periodic_action_state,reverse-engineering,high,special_or_hybrid_open,none,ability_authored_open,none,special_handler_open,authoring-open,action_kind|avoidance_policy|side_effect_policy,Performance ticks are slot/state-driven and require periodic ownership and stop conditions.
88,Rousing Melody,Normal,0x1C,Hit_(X)% NS NE,,,song_or_dance,periodic_action_state,reverse-engineering,high,special_or_hybrid_open,none,ability_authored_open,none,special_handler_open,authoring-open,action_kind|avoidance_policy|side_effect_policy,Performance ticks are slot/state-driven and require periodic ownership and stop conditions.
89,Battle Chant,Normal,0x1C,Hit_(X)% NS NE,,,song_or_dance,periodic_action_state,reverse-engineering,high,special_or_hybrid_open,none,ability_authored_open,none,special_handler_open,authoring-open,action_kind|avoidance_policy|side_effect_policy,Performance ticks are slot/state-driven and require periodic ownership and stop conditions.
90,Magickal Refrain,Normal,0x1C,Hit_(X)% NS NE,,,song_or_dance,periodic_action_state,reverse-engineering,high,special_or_hybrid_open,none,ability_authored_open,none,special_handler_open,authoring-open,action_kind|avoidance_policy|side_effect_policy,Performance ticks are slot/state-driven and require periodic ownership and stop conditions.
91,Nameless Song,Normal,0x1C,Hit_(X)% NS NE,,Reraise|Regen|Protect|Shell|Haste,song_or_dance,periodic_action_state,reverse-engineering,high,special_or_hybrid_open,none,ability_authored_open,none,special_handler_open,authoring-open,action_kind|avoidance_policy|side_effect_policy,Performance ticks are slot/state-driven and require periodic ownership and stop conditions.
92,Finale,Normal,0x1C,Hit_(X)% NS NE,,,song_or_dance,periodic_action_state,reverse-engineering,high,special_or_hybrid_open,none,ability_authored_open,none,special_handler_open,authoring-open,action_kind|avoidance_policy|side_effect_policy,Performance ticks are slot/state-driven and require periodic ownership and stop conditions.
93,Witch Hunt,Normal,0x1D,Hit_(X)% NS NE,,,song_or_dance,periodic_action_state,reverse-engineering,high,special_or_hybrid_open,none,ability_authored_open,none,special_handler_open,authoring-open,action_kind|avoidance_policy|side_effect_policy,Performance ticks are slot/state-driven and require periodic ownership and stop conditions.
94,Mincing Minuet,Normal,0x1D,Hit_(X)% NS NE,,,song_or_dance,periodic_action_state,reverse-engineering,high,special_or_hybrid_open,none,ability_authored_open,none,special_handler_open,authoring-open,action_kind|avoidance_policy|side_effect_policy,Performance ticks are slot/state-driven and require periodic ownership and stop conditions.
95,Slow Dance,Normal,0x1D,Hit_(X)% NS NE,,,song_or_dance,periodic_action_state,reverse-engineering,high,special_or_hybrid_open,none,ability_authored_open,none,special_handler_open,authoring-open,action_kind|avoidance_policy|side_effect_policy,Performance ticks are slot/state-driven and require periodic ownership and stop conditions.
96,Polka,Normal,0x1D,Hit_(X)% NS NE,,,song_or_dance,periodic_action_state,reverse-engineering,high,special_or_hybrid_open,none,ability_authored_open,none,special_handler_open,authoring-open,action_kind|avoidance_policy|side_effect_policy,Performance ticks are slot/state-driven and require periodic ownership and stop conditions.
97,Heathen Frolic,Normal,0x1D,Hit_(X)% NS NE,,,song_or_dance,periodic_action_state,reverse-engineering,high,special_or_hybrid_open,none,ability_authored_open,none,special_handler_open,authoring-open,action_kind|avoidance_policy|side_effect_policy,Performance ticks are slot/state-driven and require periodic ownership and stop conditions.
98,Forbidden Dance,Normal,0x1D,Hit_(X)% NS NE,,Darkness|Confusion|Silence|Frog|Poison|Slow|Stop|Sleep,song_or_dance,periodic_action_state,reverse-engineering,high,special_or_hybrid_open,none,ability_authored_open,magical+mental+physical,special_handler_open,authoring-open,action_kind|avoidance_policy|status_category|side_effect_policy,Performance ticks are slot/state-driven and require periodic ownership and stop conditions.
99,Last Waltz,Normal,0x1D,Hit_(X)% NS NE,,,song_or_dance,periodic_action_state,reverse-engineering,high,special_or_hybrid_open,none,ability_authored_open,none,special_handler_open,authoring-open,action_kind|avoidance_policy|side_effect_policy,Performance ticks are slot/state-driven and require periodic ownership and stop conditions.
