ability_id,name,ability_type,formula_hex,formula_text,elements,inflict_statuses,route,mechanism,readiness,risk,candidate_action_kind,candidate_damage_type,candidate_avoidance_policy,candidate_status_category,candidate_side_effect_policy,metadata_certainty,metadata_open_fields,metadata_basis,rationale,metadata_blocking_scope,metadata_next_gate
10,Protectja,Normal,0x0B,Hit_F(MA+X)% NE,,Protect,status_or_buff,dcl_status_control,surface-ready,medium,status_control,none,status_contest,none,managed_status_commit,candidate-complete,,formula-and-catalog,"Status/buff output is writable, but each status needs authored offense/resistance/duration policy.",closed,candidate metadata complete; approval remains a separate job/human gate
11,Shell,Normal,0x0B,Hit_F(MA+X)% NE,,Shell,status_or_buff,dcl_status_control,surface-ready,medium,status_control,none,status_contest,none,managed_status_commit,candidate-complete,,formula-and-catalog,"Status/buff output is writable, but each status needs authored offense/resistance/duration policy.",closed,candidate metadata complete; approval remains a separate job/human gate
12,Shellja,Normal,0x0B,Hit_F(MA+X)% NE,,Shell,status_or_buff,dcl_status_control,surface-ready,medium,status_control,none,status_contest,none,managed_status_commit,candidate-complete,,formula-and-catalog,"Status/buff output is writable, but each status needs authored offense/resistance/duration policy.",closed,candidate metadata complete; approval remains a separate job/human gate
13,Wall,Normal,0x0B,Hit_F(MA+X)% NE,,Protect|Shell,status_or_buff,dcl_status_control,surface-ready,medium,status_control,none,status_contest,none,managed_status_commit,candidate-complete,,formula-and-catalog,"Status/buff output is writable, but each status needs authored offense/resistance/duration policy.",closed,candidate metadata complete; approval remains a separate job/human gate
14,Esuna,Normal,0x0B,Hit_F(MA+X)% NE,,Petrify|Darkness|Confusion|Silence|Berserk|Frog|Poison|Sleep|DontMove|DontAct,status_or_buff,dcl_status_control,surface-ready,medium,status_control,none,none,none,managed_status_commit,candidate-complete,,formula-and-catalog,"Status/buff output is writable, but each status needs authored offense/resistance/duration policy.",closed,candidate metadata complete; approval remains a separate job/human gate
15,Holy,Normal,0x08,Dmg_F(MA*Y) ME,Holy,,magic_damage,dcl_magic,wired,low,magic_damage,spiritual,magic_evade_per_target,none,none_or_catalog_visuals,candidate-complete,,formula-and-catalog,Canonical Faith-scaled MA*Y damage is implemented by the numeric-magic profile.,closed,candidate metadata complete; approval remains a separate job/human gate
16,Fire,Normal,0x08,Dmg_F(MA*Y) ME,Fire,,magic_damage,dcl_magic,wired,low,magic_damage,elemental,magic_evade_per_target,none,none_or_catalog_visuals,candidate-complete,,formula-and-catalog,Canonical Faith-scaled MA*Y damage is implemented by the numeric-magic profile.,closed,candidate metadata complete; approval remains a separate job/human gate
17,Fira,Normal,0x08,Dmg_F(MA*Y) ME,Fire,,magic_damage,dcl_magic,wired,low,magic_damage,elemental,magic_evade_per_target,none,none_or_catalog_visuals,candidate-complete,,formula-and-catalog,Canonical Faith-scaled MA*Y damage is implemented by the numeric-magic profile.,closed,candidate metadata complete; approval remains a separate job/human gate
18,Firaga,Normal,0x08,Dmg_F(MA*Y) ME,Fire,,magic_damage,dcl_magic,wired,low,magic_damage,elemental,magic_evade_per_target,none,none_or_catalog_visuals,candidate-complete,,formula-and-catalog,Canonical Faith-scaled MA*Y damage is implemented by the numeric-magic profile.,closed,candidate metadata complete; approval remains a separate job/human gate
19,Firaja,Normal,0x08,Dmg_F(MA*Y) ME,Fire,,magic_damage,dcl_magic,wired,low,magic_damage,elemental,magic_evade_per_target,none,none_or_catalog_visuals,candidate-complete,,formula-and-catalog,Canonical Faith-scaled MA*Y damage is implemented by the numeric-magic profile.,closed,candidate metadata complete; approval remains a separate job/human gate
20,Thunder,Normal,0x08,Dmg_F(MA*Y) ME,Lightning,,magic_damage,dcl_magic,wired,low,magic_damage,elemental,magic_evade_per_target,none,none_or_catalog_visuals,candidate-complete,,formula-and-catalog,Canonical Faith-scaled MA*Y damage is implemented by the numeric-magic profile.,closed,candidate metadata complete; approval remains a separate job/human gate
21,Thundara,Normal,0x08,Dmg_F(MA*Y) ME,Lightning,,magic_damage,dcl_magic,wired,low,magic_damage,elemental,magic_evade_per_target,none,none_or_catalog_visuals,candidate-complete,,formula-and-catalog,Canonical Faith-scaled MA*Y damage is implemented by the numeric-magic profile.,closed,candidate metadata complete; approval remains a separate job/human gate
22,Thundaga,Normal,0x08,Dmg_F(MA*Y) ME,Lightning,,magic_damage,dcl_magic,wired,low,magic_damage,elemental,magic_evade_per_target,none,none_or_catalog_visuals,candidate-complete,,formula-and-catalog,Canonical Faith-scaled MA*Y damage is implemented by the numeric-magic profile.,closed,candidate metadata complete; approval remains a separate job/human gate
23,Thundaja,Normal,0x08,Dmg_F(MA*Y) ME,Lightning,,magic_damage,dcl_magic,wired,low,magic_damage,elemental,magic_evade_per_target,none,none_or_catalog_visuals,candidate-complete,,formula-and-catalog,Canonical Faith-scaled MA*Y damage is implemented by the numeric-magic profile.,closed,candidate metadata complete; approval remains a separate job/human gate
24,Blizzard,Normal,0x08,Dmg_F(MA*Y) ME,Ice,,magic_damage,dcl_magic,wired,low,magic_damage,elemental,magic_evade_per_target,none,none_or_catalog_visuals,candidate-complete,,formula-and-catalog,Canonical Faith-scaled MA*Y damage is implemented by the numeric-magic profile.,closed,candidate metadata complete; approval remains a separate job/human gate
25,Blizzara,Normal,0x08,Dmg_F(MA*Y) ME,Ice,,magic_damage,dcl_magic,wired,low,magic_damage,elemental,magic_evade_per_target,none,none_or_catalog_visuals,candidate-complete,,formula-and-catalog,Canonical Faith-scaled MA*Y damage is implemented by the numeric-magic profile.,closed,candidate metadata complete; approval remains a separate job/human gate
26,Blizzaga,Normal,0x08,Dmg_F(MA*Y) ME,Ice,,magic_damage,dcl_magic,wired,low,magic_damage,elemental,magic_evade_per_target,none,none_or_catalog_visuals,candidate-complete,,formula-and-catalog,Canonical Faith-scaled MA*Y damage is implemented by the numeric-magic profile.,closed,candidate metadata complete; approval remains a separate job/human gate
27,Blizzaja,Normal,0x08,Dmg_F(MA*Y) ME,Ice,,magic_damage,dcl_magic,wired,low,magic_damage,elemental,magic_evade_per_target,none,none_or_catalog_visuals,candidate-complete,,formula-and-catalog,Canonical Faith-scaled MA*Y damage is implemented by the numeric-magic profile.,closed,candidate metadata complete; approval remains a separate job/human gate
28,Poison,Normal,0x0A,Hit_F(MA+X)% ME,,Poison,magical_status,dcl_status_contest,surface-ready,medium,status_control,none,status_contest,physical,managed_status_commit,candidate-complete,,formula-and-catalog,"Offensive Faith status spells use the authored DCL status contest, not numeric magic damage.",closed,candidate metadata complete; approval remains a separate job/human gate
29,Toad,Normal,0x0A,Hit_F(MA+X)% ME,,Frog,magical_status,dcl_status_contest,surface-ready,medium,status_control,none,status_contest,magical,managed_status_commit,candidate-complete,,formula-and-catalog,"Offensive Faith status spells use the authored DCL status contest, not numeric magic damage.",closed,candidate metadata complete; approval remains a separate job/human gate
30,Death,Normal,0x0E,Dmg_(Y)% Hit_F(MA+X)% 100% Status Hide Status,,Dead,special_hp_damage,explicit_special_rule,authoring-required,high,resource_damage,special_or_hybrid_open,ability_authored_open,lifecycle_special,special_handler_open,authoring-open,damage_type|avoidance_policy|status_category|side_effect_policy,formula-and-catalog,Percent/current/missing-HP effects must not enter the ordinary physical or magic damage spine.,design,author the open per-ability identity/policy on an already known or preserved surface
31,Flare,Normal,0x08,Dmg_F(MA*Y) ME,,,magic_damage,dcl_magic,wired,low,magic_damage,magic_untyped_open,magic_evade_per_target,none,none_or_catalog_visuals,authoring-open,damage_type,formula-and-catalog,Canonical Faith-scaled MA*Y damage is implemented by the numeric-magic profile.,design,author the open per-ability identity/policy on an already known or preserved surface
32,Haste,Normal,0x0B,Hit_F(MA+X)% NE,,Haste,status_or_buff,dcl_status_control,surface-ready,medium,status_control,none,status_contest,none,managed_status_commit,candidate-complete,,formula-and-catalog,"Status/buff output is writable, but each status needs authored offense/resistance/duration policy.",closed,candidate metadata complete; approval remains a separate job/human gate
33,Hasteja,Normal,0x0B,Hit_F(MA+X)% NE,,Haste,status_or_buff,dcl_status_control,surface-ready,medium,status_control,none,status_contest,none,managed_status_commit,candidate-complete,,formula-and-catalog,"Status/buff output is writable, but each status needs authored offense/resistance/duration policy.",closed,candidate metadata complete; approval remains a separate job/human gate
34,Slow,Normal,0x0A,Hit_F(MA+X)% ME,,Slow,magical_status,dcl_status_contest,surface-ready,medium,status_control,none,status_contest,magical,managed_status_commit,candidate-complete,,formula-and-catalog,"Offensive Faith status spells use the authored DCL status contest, not numeric magic damage.",closed,candidate metadata complete; approval remains a separate job/human gate
35,Slowja,Normal,0x0A,Hit_F(MA+X)% ME,,Slow,magical_status,dcl_status_contest,surface-ready,medium,status_control,none,status_contest,magical,managed_status_commit,candidate-complete,,formula-and-catalog,"Offensive Faith status spells use the authored DCL status contest, not numeric magic damage.",closed,candidate metadata complete; approval remains a separate job/human gate
36,Stop,Normal,0x0A,Hit_F(MA+X)% ME,,Stop,magical_status,dcl_status_contest,surface-ready,medium,status_control,none,status_contest,magical,managed_status_commit,candidate-complete,,formula-and-catalog,"Offensive Faith status spells use the authored DCL status contest, not numeric magic damage.",closed,candidate metadata complete; approval remains a separate job/human gate
37,Immobilize,Normal,0x0A,Hit_F(MA+X)% ME,,DontMove,magical_status,dcl_status_contest,surface-ready,medium,status_control,none,status_contest,source_authored,managed_status_commit,authoring-open,status_category,formula-and-catalog,"Offensive Faith status spells use the authored DCL status contest, not numeric magic damage.",design,author the open per-ability identity/policy on an already known or preserved surface
38,Float,Normal,0x0B,Hit_F(MA+X)% NE,,Float,status_or_buff,dcl_status_control,surface-ready,medium,status_control,none,status_contest,none,managed_status_commit,candidate-complete,,formula-and-catalog,"Status/buff output is writable, but each status needs authored offense/resistance/duration policy.",closed,candidate metadata complete; approval remains a separate job/human gate
39,Reflect,Normal,0x0B,Hit_F(MA+X)% NE,,Reflect,status_or_buff,dcl_status_control,surface-ready,medium,status_control,none,status_contest,none,managed_status_commit,candidate-complete,,formula-and-catalog,"Status/buff output is writable, but each status needs authored offense/resistance/duration policy.",closed,candidate metadata complete; approval remains a separate job/human gate
40,<Unknown> ,Normal,0x00,Dmg_[Weapon] PE,,,physical_damage,dcl_physical,formula-map-required,medium,physical_damage,weapon_defined,physical_contest,none,none_or_catalog_visuals,candidate-complete,,formula-and-catalog,Weapon-basis damage can use the DCL physical spine after its weapon/ability metadata is authored.,closed,candidate metadata complete; approval remains a separate job/human gate
41,Quick,Normal,0x12,Set_Quick Hit_F(MA+X)% NS NE,,,turn_control,explicit_status_or_ct_rule,authoring-required,high,special_control,none,ability_authored_open,none,special_handler_open,authoring-open,avoidance_policy|side_effect_policy,formula-and-catalog,Quick/CT-zero modifies turn state rather than HP damage.,design,author the open per-ability identity/policy on an already known or preserved surface
42,Gravity,Normal,0x09,Dmg_(Y/100)% Hit_F(MA+X)% ME,,,special_hp_damage,explicit_special_rule,authoring-required,high,resource_damage,special_or_hybrid_open,ability_authored_open,none,special_handler_open,authoring-open,damage_type|avoidance_policy|side_effect_policy,formula-and-catalog,Percent/current/missing-HP effects must not enter the ordinary physical or magic damage spine.,design,author the open per-ability identity/policy on an already known or preserved surface
43,Graviga,Normal,0x09,Dmg_(Y/100)% Hit_F(MA+X)% ME,,,special_hp_damage,explicit_special_rule,authoring-required,high,resource_damage,special_or_hybrid_open,ability_authored_open,none,special_handler_open,authoring-open,damage_type|avoidance_policy|side_effect_policy,formula-and-catalog,Percent/current/missing-HP effects must not enter the ordinary physical or magic damage spine.,design,author the open per-ability identity/policy on an already known or preserved surface
44,Meteor,Normal,0x08,Dmg_F(MA*Y) ME,,,magic_damage,dcl_magic,wired,low,magic_damage,magic_untyped_open,magic_evade_per_target,none,none_or_catalog_visuals,authoring-open,damage_type,formula-and-catalog,Canonical Faith-scaled MA*Y damage is implemented by the numeric-magic profile.,design,author the open per-ability identity/policy on an already known or preserved surface
45,Chant,Normal,0x65,<<Sanguine Sword>>,Dark,,drain,dcl_hp_mp_channels,authoring-required,high,resource_damage,none,ability_authored_open,none,multi_unit_transaction,authoring-open,avoidance_policy,formula-and-catalog,Dark Knight drain variants scale the ordinary staged debit to 80% and reuse the mapped native paired HP/MP result transactions.,design,author the open per-ability identity/policy on an already known or preserved surface
46,Umbra,Normal,0x0A,Hit_F(MA+X)% ME,,Darkness,magical_status,dcl_status_contest,surface-ready,medium,status_control,none,status_contest,magical,managed_status_commit,candidate-complete,,formula-and-catalog,"Offensive Faith status spells use the authored DCL status contest, not numeric magic damage.",closed,candidate metadata complete; approval remains a separate job/human gate
47,Empowerment,Normal,0x0F,AbsorbMP_(Y)% Hit_F(MA+X)% NS ME,,,drain,dcl_hp_mp_channels,authoring-required,high,resource_damage,none,ability_authored_open,none,multi_unit_transaction,authoring-open,avoidance_policy,formula-and-catalog,"Paired target/source HP and MP result records, Undead reversal, the 999 result cap, and native resource clamps are mapped; each action still needs authored amount, hit, element, and reversal policy.",design,author the open per-ability identity/policy on an already known or preserved surface
48,Invigoration,Normal,0x10,AbsorbHP_(Y)% Hit_F(MA+X)% NS ME,,,drain,dcl_hp_mp_channels,authoring-required,high,resource_damage,none,ability_authored_open,none,multi_unit_transaction,authoring-open,avoidance_policy,formula-and-catalog,"Paired target/source HP and MP result records, Undead reversal, the 999 result cap, and native resource clamps are mapped; each action still needs authored amount, hit, element, and reversal policy.",design,author the open per-ability identity/policy on an already known or preserved surface
49,Belief,Normal,0x0A,Hit_F(MA+X)% ME,,Faith,magical_status,dcl_status_contest,surface-ready,medium,status_control,none,status_contest,magical,managed_status_commit,candidate-complete,,formula-and-catalog,"Offensive Faith status spells use the authored DCL status contest, not numeric magic damage.",closed,candidate metadata complete; approval remains a separate job/human gate
50,Disbelief,Normal,0x0A,Hit_F(MA+X)% ME,,Innocent,magical_status,dcl_status_contest,surface-ready,medium,status_control,none,status_contest,magical,managed_status_commit,candidate-complete,,formula-and-catalog,"Offensive Faith status spells use the authored DCL status contest, not numeric magic damage.",closed,candidate metadata complete; approval remains a separate job/human gate
51,Corruption,Normal,0x0A,Hit_F(MA+X)% ME,,Undead,magical_status,dcl_status_contest,surface-ready,medium,status_control,none,status_contest,magical,managed_status_commit,candidate-complete,,formula-and-catalog,"Offensive Faith status spells use the authored DCL status contest, not numeric magic damage.",closed,candidate metadata complete; approval remains a separate job/human gate
52,Quiescence,Normal,0x0A,Hit_F(MA+X)% ME,,Silence,magical_status,dcl_status_contest,surface-ready,medium,status_control,none,status_contest,magical,managed_status_commit,candidate-complete,,formula-and-catalog,"Offensive Faith status spells use the authored DCL status contest, not numeric magic damage.",closed,candidate metadata complete; approval remains a separate job/human gate
53,Fervor,Normal,0x0A,Hit_F(MA+X)% ME,,Berserk,magical_status,dcl_status_contest,surface-ready,medium,status_control,none,status_contest,mental,managed_status_commit,candidate-complete,,formula-and-catalog,"Offensive Faith status spells use the authored DCL status contest, not numeric magic damage.",closed,candidate metadata complete; approval remains a separate job/human gate
54,Trepidation,Normal,0x61,-Brave_(Y) Hit_F(MA+X)% NS ME,,,stat_or_trait_debuff,dcl_status_or_stat_control,authoring-required,medium,stat_or_trait_change,none,ability_authored_open,none,stat_or_trait_commit,authoring-open,avoidance_policy,formula-and-catalog,"Direct PA/MA/SP/level/Brave changes require explicit duration, floor, and restoration policy.",design,author the open per-ability identity/policy on an already known or preserved surface
55,Delirium,Normal,0x0A,Hit_F(MA+X)% ME,,Confusion,magical_status,dcl_status_contest,surface-ready,medium,status_control,none,status_contest,mental,managed_status_commit,candidate-complete,,formula-and-catalog,"Offensive Faith status spells use the authored DCL status contest, not numeric magic damage.",closed,candidate metadata complete; approval remains a separate job/human gate
56,Harmony,Normal,0x0A,Hit_F(MA+X)% ME,,Float|Reraise|Transparent|Regen|Protect|Shell|Haste|Faith|Reflect,magical_status,dcl_status_contest,surface-ready,medium,status_control,none,none,none,managed_status_commit,candidate-complete,,formula-and-catalog,"Offensive Faith status spells use the authored DCL status contest, not numeric magic damage.",closed,candidate metadata complete; approval remains a separate job/human gate
57,Hesitation,Normal,0x0A,Hit_F(MA+X)% ME,,DontAct,magical_status,dcl_status_contest,surface-ready,medium,status_control,none,status_contest,source_authored,managed_status_commit,authoring-open,status_category,formula-and-catalog,"Offensive Faith status spells use the authored DCL status contest, not numeric magic damage.",design,author the open per-ability identity/policy on an already known or preserved surface
58,Repose,Normal,0x0A,Hit_F(MA+X)% ME,,Sleep,magical_status,dcl_status_contest,surface-ready,medium,status_control,none,status_contest,magical,managed_status_commit,candidate-complete,,formula-and-catalog,"Offensive Faith status spells use the authored DCL status contest, not numeric magic damage.",closed,candidate metadata complete; approval remains a separate job/human gate
59,Induration,Normal,0x0A,Hit_F(MA+X)% ME,,Petrify,magical_status,dcl_status_contest,surface-ready,medium,status_control,none,status_contest,magical,managed_status_commit,candidate-complete,,formula-and-catalog,"Offensive Faith status spells use the authored DCL status contest, not numeric magic damage.",closed,candidate metadata complete; approval remains a separate job/human gate
60,Moogle,Normal,0x0C,Heal_F(MA*Y) NS NE,,,magic_healing,dcl_magic,wired,low,healing,none,none,none,managed_resource_commit,candidate-complete,,formula-and-catalog,"Canonical Faith-scaled MA*Y healing is implemented, including Undead inversion.",closed,candidate metadata complete; approval remains a separate job/human gate
61,Shiva,Normal,0x08,Dmg_F(MA*Y) ME,Ice,,magic_damage,dcl_magic,wired,low,magic_damage,elemental,magic_evade_per_target,none,none_or_catalog_visuals,candidate-complete,,formula-and-catalog,Canonical Faith-scaled MA*Y damage is implemented by the numeric-magic profile.,closed,candidate metadata complete; approval remains a separate job/human gate
62,Ramuh,Normal,0x08,Dmg_F(MA*Y) ME,Lightning,,magic_damage,dcl_magic,wired,low,magic_damage,elemental,magic_evade_per_target,none,none_or_catalog_visuals,candidate-complete,,formula-and-catalog,Canonical Faith-scaled MA*Y damage is implemented by the numeric-magic profile.,closed,candidate metadata complete; approval remains a separate job/human gate
63,Ifrit,Normal,0x08,Dmg_F(MA*Y) ME,Fire,,magic_damage,dcl_magic,wired,low,magic_damage,elemental,magic_evade_per_target,none,none_or_catalog_visuals,candidate-complete,,formula-and-catalog,Canonical Faith-scaled MA*Y damage is implemented by the numeric-magic profile.,closed,candidate metadata complete; approval remains a separate job/human gate
64,Titan,Normal,0x08,Dmg_F(MA*Y) ME,Earth,,magic_damage,dcl_magic,wired,low,magic_damage,elemental,magic_evade_per_target,none,none_or_catalog_visuals,candidate-complete,,formula-and-catalog,Canonical Faith-scaled MA*Y damage is implemented by the numeric-magic profile.,closed,candidate metadata complete; approval remains a separate job/human gate
65,Golem,Normal,0x14,Set_Golem Hit_CasF/100*(MA+X)% GlmHP(TarMaxHP) NS NE,,,golem_pool,native_team_barrier_pool,native-pool-mapped,high,special_control,none,ability_authored_open,none,native_team_pool_transaction,authoring-open,avoidance_policy,formula-and-catalog,"Native Golem owns four team-indexed 16-bit pools, initializes from caster MaxHP, saturating-debits intercepted HP damage, and participates in battle-state import/export.",design,author the open per-ability identity/policy on an already known or preserved surface
66,Carbuncle,Normal,0x0B,Hit_F(MA+X)% NE,,Reflect,status_or_buff,dcl_status_control,surface-ready,medium,status_control,none,status_contest,none,managed_status_commit,candidate-complete,,formula-and-catalog,"Status/buff output is writable, but each status needs authored offense/resistance/duration policy.",closed,candidate metadata complete; approval remains a separate job/human gate
67,Bahamut,Normal,0x08,Dmg_F(MA*Y) ME,,,magic_damage,dcl_magic,wired,low,magic_damage,magic_untyped_open,magic_evade_per_target,none,none_or_catalog_visuals,authoring-open,damage_type,formula-and-catalog,Canonical Faith-scaled MA*Y damage is implemented by the numeric-magic profile.,design,author the open per-ability identity/policy on an already known or preserved surface
68,Odin,Normal,0x08,Dmg_F(MA*Y) ME,,,magic_damage,dcl_magic,wired,low,magic_damage,magic_untyped_open,magic_evade_per_target,none,none_or_catalog_visuals,authoring-open,damage_type,formula-and-catalog,Canonical Faith-scaled MA*Y damage is implemented by the numeric-magic profile.,design,author the open per-ability identity/policy on an already known or preserved surface
69,Leviathan,Normal,0x08,Dmg_F(MA*Y) ME,Water,,magic_damage,dcl_magic,wired,low,magic_damage,elemental,magic_evade_per_target,none,none_or_catalog_visuals,candidate-complete,,formula-and-catalog,Canonical Faith-scaled MA*Y damage is implemented by the numeric-magic profile.,closed,candidate metadata complete; approval remains a separate job/human gate
70,Salamander,Normal,0x08,Dmg_F(MA*Y) ME,Fire,,magic_damage,dcl_magic,wired,low,magic_damage,elemental,magic_evade_per_target,none,none_or_catalog_visuals,candidate-complete,,formula-and-catalog,Canonical Faith-scaled MA*Y damage is implemented by the numeric-magic profile.,closed,candidate metadata complete; approval remains a separate job/human gate
71,Sylph,Normal,0x0A,Hit_F(MA+X)% ME,,Silence,magical_status,dcl_status_contest,surface-ready,medium,status_control,none,status_contest,magical,managed_status_commit,candidate-complete,,formula-and-catalog,"Offensive Faith status spells use the authored DCL status contest, not numeric magic damage.",closed,candidate metadata complete; approval remains a separate job/human gate
72,Faerie,Normal,0x0C,Heal_F(MA*Y) NS NE,,,magic_healing,dcl_magic,wired,low,healing,none,none,none,managed_resource_commit,candidate-complete,,formula-and-catalog,"Canonical Faith-scaled MA*Y healing is implemented, including Undead inversion.",closed,candidate metadata complete; approval remains a separate job/human gate
73,Lich,Normal,0x09,Dmg_(Y/100)% Hit_F(MA+X)% ME,Dark,,special_hp_damage,explicit_special_rule,authoring-required,high,resource_damage,special_or_hybrid_open,ability_authored_open,none,special_handler_open,authoring-open,damage_type|avoidance_policy|side_effect_policy,formula-and-catalog,Percent/current/missing-HP effects must not enter the ordinary physical or magic damage spine.,design,author the open per-ability identity/policy on an already known or preserved surface
74,Cyclops,Normal,0x08,Dmg_F(MA*Y) ME,,,magic_damage,dcl_magic,wired,low,magic_damage,magic_untyped_open,magic_evade_per_target,none,none_or_catalog_visuals,authoring-open,damage_type,formula-and-catalog,Canonical Faith-scaled MA*Y damage is implemented by the numeric-magic profile.,design,author the open per-ability identity/policy on an already known or preserved surface
75,Zodiark,Normal,0x08,Dmg_F(MA*Y) ME,,,magic_damage,dcl_magic,wired,low,magic_damage,magic_untyped_open,magic_evade_per_target,none,none_or_catalog_visuals,authoring-open,damage_type,formula-and-catalog,Canonical Faith-scaled MA*Y damage is implemented by the numeric-magic profile.,design,author the open per-ability identity/policy on an already known or preserved surface
76,Ashura,Normal,0x20,"Dmg_(MA*Y) NE //MayDisplay""Broken""",,,noncanonical_magic_or_hybrid_damage,explicit_damage_rule,formula-map-required,high,physical_damage,swing,physical_contest,none,none_or_catalog_visuals,candidate-complete,,job-decision:samurai-damage-iaido,Non-Faith MA or PA/MA hybrid damage needs an ability-level DCL identity decision.,closed,candidate metadata complete; approval remains a separate job/human gate
77,Kotetsu,Normal,0x20,"Dmg_(MA*Y) NE //MayDisplay""Broken""",,,noncanonical_magic_or_hybrid_damage,explicit_damage_rule,formula-map-required,high,physical_damage,swing,physical_contest,none,none_or_catalog_visuals,candidate-complete,,job-decision:samurai-damage-iaido,Non-Faith MA or PA/MA hybrid damage needs an ability-level DCL identity decision.,closed,candidate metadata complete; approval remains a separate job/human gate
78,Bizen Osafune,Normal,0x21,"DmgMP_(MA*Y) NS NE //MayDisplay""Broken""",,,mp_damage,dcl_mp_channel,surface-ready,medium,physical_damage,swing,physical_contest,none,none_or_catalog_visuals,candidate-complete,,job-decision:samurai-damage-iaido,"MP debit is proven, but each percent/current/stat formula needs an authored amount rule.",closed,candidate metadata complete; approval remains a separate job/human gate
79,Murasame,Normal,0x23,"Heal_(MA*Y) NS NE //MayDisplay""Broken""",,,noncanonical_healing,explicit_healing_rule,formula-map-required,medium,healing,none,none,none,managed_resource_commit,candidate-complete,,job-decision:samurai-support-iaido,Non-Faith healing may share the output channel but needs an authored Faith and scaling policy.,closed,candidate metadata complete; approval remains a separate job/human gate
80,Ame-no-Murakumo,Normal,0x20,"Dmg_(MA*Y) NE //MayDisplay""Broken""",,Slow,noncanonical_magic_or_hybrid_damage,explicit_damage_rule,formula-map-required,high,physical_damage,swing,physical_contest,none,none_or_catalog_visuals,candidate-complete,,job-decision:samurai-damage-iaido,Non-Faith MA or PA/MA hybrid damage needs an ability-level DCL identity decision.,closed,candidate metadata complete; approval remains a separate job/human gate
